	D:\Pacientes\CDTI\Federico\marcha.txt
	ACCL_Z_F
	ANALOG
	PROCESSED
ITEM	X
416	0.653103
417	0.772686
418	0.867585
419	0.942060
420	1.000777
421	1.048576
422	1.089982
423	1.128006
424	1.162746
425	1.191125
426	1.208461
427	1.210903
428	1.196898
429	1.166844
430	1.121938
431	1.063640
432	0.994084
433	0.916688
434	0.835882
435	0.755591
436	0.677602
437	0.601332
438	0.525025
439	0.447233
440	0.367525
441	0.286152
442	0.203262
443	0.118573
444	0.031696
445	-0.057502
446	-0.148969
447	-0.242727
448	-0.338829
449	-0.436878
450	-0.535559
451	-0.632685
452	-0.725846
453	-0.813161
454	-0.893636
455	-0.967052
456	-1.033657
457	-1.093960
458	-1.148721
459	-1.199021
460	-1.246215
461	-1.291668
462	-1.336326
463	-1.380279
464	-1.422473
465	-1.460662
466	-1.491662
467	-1.511809
468	-1.517450
469	-1.505257
470	-1.472272
471	-1.415737
472	-1.332865
473	-1.220838
474	-1.077186
475	-0.900523
476	-0.691532
477	-0.454211
478	-0.197037
479	0.067127
480	0.324148
481	0.564506
482	0.787868
483	1.001486
484	1.213101
485	1.425012
486	1.633885
487	1.833823
488	2.018499
489	2.181857
490	2.318651
491	2.424895
492	2.498029
493	2.537372
494	2.544799
495	2.524274
496	2.479724
497	2.413455
498	2.327266
499	2.224555
500	2.110140
501	1.988186
502	1.861188
503	1.730915
504	1.599561
505	1.469688
506	1.343391
507	1.221725
508	1.104831
509	0.992487
510	0.884608
511	0.781382
512	0.683081
513	0.589840
514	0.501628
515	0.418388
516	0.340147
517	0.267022
518	0.199135
519	0.136496
520	0.078945
521	0.026216
522	-0.022019
523	-0.066127
524	-0.106473
525	-0.143307
526	-0.176687
527	-0.206526
528	-0.232728
529	-0.255269
530	-0.274196
531	-0.289689
532	-0.302222
533	-0.312673
534	-0.322195
535	-0.331891
536	-0.342537
537	-0.354501
538	-0.367800
539	-0.382179
540	-0.397268
541	-0.412800
542	-0.428770
543	-0.445452
544	-0.463351
545	-0.483102
546	-0.505265
547	-0.530032
548	-0.556986
549	-0.585027
550	-0.612485
551	-0.637425
552	-0.658067
553	-0.673076
554	-0.681577
555	-0.682981
556	-0.676851
557	-0.662838
558	-0.640696
559	-0.610322
560	-0.571815
561	-0.525466
562	-0.471819
563	-0.412067
564	-0.348640
565	-0.285034
