	D:\Pacientes\CDTI\Daniel\daniel_marcha.txt
	ACCL_Z_F
	ANALOG
	PROCESSED
ITEM	X
417	-0.804188
418	-0.843350
419	-0.870838
420	-0.887330
421	-0.893110
422	-0.888073
423	-0.872033
424	-0.845235
425	-0.808818
426	-0.764967
427	-0.716683
428	-0.667276
429	-0.619757
430	-0.576327
431	-0.538008
432	-0.504274
433	-0.472870
434	-0.440137
435	-0.401606
436	-0.352678
437	-0.289626
438	-0.210784
439	-0.116833
440	-0.009229
441	0.111489
442	0.244884
443	0.388792
444	0.539084
445	0.690599
446	0.838359
447	0.978226
448	1.106565
449	1.219990
450	1.315605
451	1.391316
452	1.446105
453	1.480172
454	1.494760
455	1.491575
456	1.472109
457	1.437189
458	1.386898
459	1.320929
460	1.239203
461	1.142382
462	1.032089
463	0.910904
464	0.782197
465	0.649787
466	0.517407
467	0.388128
468	0.264015
469	0.146117
470	0.034637
471	-0.070858
472	-0.171220
